,0
0,294013.4999999888
1,293946.09999998886
2,293883.89999998885
3,293848.4999999889
4,293715.89999998885
5,293444.2999999889
6,293440.49999998894
7,293440.49999998894
8,293368.49999998894
9,293176.8999999891
10,293524.0999999891
11,293176.8999999891
12,293032.89999998914
13,293036.6999999891
14,292827.499999989
15,292813.0999999891
16,292563.2999999891
17,292579.6999999891
18,292542.49999998906
19,292542.49999998906
20,292542.49999998906
21,292782.299999989
22,293024.09999998903
23,292521.09999998903
24,292493.69999998895
25,292354.4999999888
26,292401.09999998886
27,292604.69999998884
28,292271.69999998884
29,295115.69999998895
30,291697.09999998886
31,291476.09999998886
32,291183.0999999888
33,291088.4999999888
34,291171.4999999889
35,290932.09999998886
36,290932.09999998886
37,291105.2999999889
38,290819.4999999889
39,291429.09999998886
40,290819.4999999889
41,290595.69999998884
42,290854.0999999889
43,290629.29999998887
44,290523.29999998887
45,290459.8999999889
46,290459.8999999889
47,290447.69999998895
48,290281.299999989
49,290116.499999989
50,290116.499999989
51,290683.69999998895
52,290399.69999998895
53,289873.49999998906
54,290105.099999989
55,289861.8999999889
56,289857.29999998887
57,289390.49999998894
58,289254.499999989
59,289219.89999998914
60,289179.8999999891
61,289159.89999998896
62,288987.099999989
63,289115.89999998896
64,288865.49999998894
65,288882.89999998885
66,289453.2999999889
67,288784.0999999889
68,288748.6999999889
69,288809.69999998895
70,288757.499999989
71,288771.8999999889
72,288922.49999998894
73,288814.0999999889
74,288731.29999998887
75,288911.8999999889
76,288700.8999999889
77,288702.4999999889
78,288700.8999999889
79,288698.4999999889
80,288747.4999999889
81,288698.4999999889
82,288727.69999998895
83,288984.4999999889
84,288734.49999998894
85,289153.69999998895
86,288720.4999999889
87,288698.4999999889
88,289032.0999999889
89,288597.699999989
90,288441.6999999891
91,288407.89999998914
92,288409.4999999891
93,288237.6999999891
94,288566.899999989
95,288590.49999998906
96,288219.69999998924
97,287862.8999999892
98,287704.4999999891
99,287883.09999998903
100,287347.6999999891
101,287374.2999999891
102,287444.299999989
103,287288.6999999891
104,287156.89999998914
105,287114.2999999891
106,286972.89999998914
107,286972.89999998914
108,286874.8999999892
109,286871.29999998916
110,286871.29999998916
111,286904.6999999891
112,286784.0999999891
113,286668.4999999892
114,286796.89999998914
115,286551.0999999892
116,286391.89999998925
117,285991.09999998915
118,285690.4999999892
119,287367.29999998916
120,285690.4999999892
121,285684.09999998915
122,285684.09999998915
123,285690.8999999892
124,285722.09999998915
125,285421.6999999891
126,285421.6999999891
127,285257.2999999891
128,285283.8999999891
129,285258.0999999892
130,285067.2999999892
131,285064.09999998927
132,285064.09999998927
133,285065.49999998923
134,285461.4999999891
135,285374.0999999891
136,284700.89999998925
137,284748.49999998906
138,284344.49999998923
139,286388.8999999891
140,284284.2999999892
141,284284.2999999892
142,284425.0999999892
143,284284.2999999892
144,284284.2999999892
145,284480.49999998906
146,284268.6999999892
147,284541.2999999893
148,284263.89999998914
149,285612.4999999892
150,284179.8999999892
151,284146.69999998907
152,283887.49999998906
153,283844.0999999892
154,283928.09999998915
155,284038.69999998924
156,283806.6999999892
157,283797.699999989
158,283672.29999998905
159,283661.89999998896
160,283554.299999989
161,283549.899999989
162,283270.0999999891
163,283257.2999999891
164,283425.0999999891
165,283243.0999999891
166,283129.6999999891
167,283134.89999998914
168,282788.2999999891
169,282785.89999998914
170,282744.49999998906
171,282657.29999998905
172,282657.29999998905
173,282657.29999998905
174,285255.89999998914
175,283047.09999998915
176,282801.4999999891
177,282583.299999989
178,282583.299999989
179,282317.09999998903
180,282180.8999999891
181,282114.09999998903
182,281815.69999998907
183,281815.69999998907
184,281895.09999998915
185,281815.69999998907
186,281595.0999999891
187,281653.29999998916
188,281451.0999999891
189,284536.4999999891
190,281711.6999999892
191,281451.0999999891
192,281590.0999999891
193,281451.0999999891
194,281255.29999998916
195,281294.69999998907
196,281255.29999998916
197,281232.09999998915
198,281237.4999999892
199,282070.0999999891
200,281232.09999998915
201,281516.4999999891
202,281439.0999999892
203,281060.8999999892
204,281108.2999999892
205,280910.8999999892
206,282236.69999998924
207,280824.0999999893
208,280824.0999999893
209,280380.4999999892
