station_interval,comuting_time
5,14.599999999999454
2,9.899999999999466
3,11.599999999999454
1,6.199999999999477
1,5.199999999999477
2,6.899999999999466
1,4.199999999999477
1,3.5999999999994543
4,14.199999999999477
4,12.199999999999477
2,6.7999999999995
2,5.7999999999995
2,5.7999999999995
1,3.099999999999511
4,11.199999999999477
2,9.499999999999488
1,5.7999999999995
4,12.899999999999466
1,4.7999999999995
1,3.7999999999994998
2,9.899999999999466
1,3.8999999999994657
1,2.8999999999994657
1,4.599999999999454
1,5.699999999999477
8,23.599999999999397
2,7.399999999999466
2,6.399999999999466
2,10.099999999999454
1,7.399999999999466
5,17.19999999999942
3,10.799999999999443
1,5.399999999999466
5,16.19999999999942
4,11.499999999999432
1,6.099999999999454
3,11.499999999999432
2,7.799999999999443
5,15.899999999999409
2,5.799999999999443
5,13.899999999999409
1,6.799999999999443
1,5.799999999999443
3,11.19999999999942
3,11.19999999999942
3,9.19999999999942
1,4.499999999999432
2,7.899999999999409
1,5.19999999999942
2,5.899999999999409
1,4.899999999999409
1,3.899999999999409
1,3.5999999999993975
5,16.099999999999454
2,6.999999999999488
2,6.999999999999488
7,20.49999999999943
10,28.599999999999397
3,9.699999999999477
2,7.699999999999477
1,7.699999999999477
2,9.399999999999466
3,11.099999999999454
7,19.89999999999941
7,23.599999999999397
4,13.499999999999432
3,10.799999999999443
4,13.499999999999432
2,7.099999999999454
4,12.499999999999432
3,8.799999999999443
6,16.89999999999941
4,14.19999999999942
2,8.799999999999443
3,11.499999999999432
5,15.899999999999409
1,4.099999999999454
2,6.799999999999443
3,9.499999999999432
4,12.19999999999942
2,6.799999999999443
3,8.499999999999432
6,16.599999999999397
1,6.799999999999443
3,12.19999999999942
4,12.899999999999409
4,12.899999999999409
2,10.19999999999942
4,14.599999999999397
2,8.19999999999942
4,13.599999999999397
2,8.19999999999942
2,6.19999999999942
1,4.19999999999942
2,5.899999999999409
1,6.899999999999409
2,9.599999999999397
1,7.5999999999993975
1,6.5999999999993975
1,5.5999999999993975
10,29.199999999999363
1,4.899999999999466
9,26.499999999999375
6,17.39999999999941
2,6.599999999999454
4,11.999999999999432
12,33.59999999999934
5,14.69999999999942
8,22.799999999999386
1,3.8999999999994657
2,6.599999999999454
7,20.099999999999397
4,11.999999999999432
1,3.8999999999994657
2,6.599999999999454
7,20.099999999999397
2,6.599999999999454
5,14.69999999999942
8,21.799999999999386
8,21.799999999999386
2,5.599999999999454
1,7.599999999999454
10,31.899999999999352
7,22.799999999999386
1,6.599999999999454
4,14.69999999999942
9,28.199999999999363
5,17.39999999999941
1,6.599999999999454
3,11.999999999999432
4,13.69999999999942
1,5.599999999999454
7,21.799999999999386
8,24.499999999999375
5,16.39999999999941
4,13.69999999999942
2,8.299999999999443
1,5.599999999999454
1,4.599999999999454
5,15.399999999999409
5,15.399999999999409
4,12.69999999999942
9,26.199999999999363
5,15.399999999999409
4,12.69999999999942
1,4.599999999999454
9,25.199999999999363
9,25.199999999999363
4,11.69999999999942
7,19.799999999999386
9,25.199999999999363
11,30.59999999999934
6,20.799999999999386
8,26.199999999999363
2,9.999999999999432
6,19.799999999999386
2,8.999999999999432
7,22.499999999999375
2,8.999999999999432
1,6.299999999999443
10,29.59999999999934
7,21.499999999999375
6,18.799999999999386
4,13.399999999999409
6,17.799999999999386
2,6.999999999999432
8,23.199999999999363
5,14.099999999999397
9,24.899999999999352
2,5.999999999999432
6,16.799999999999386
10,27.59999999999934
2,5.999999999999432
10,27.59999999999934
6,16.799999999999386
3,8.69999999999942
2,10.399999999999409
1,6.69999999999942
2,9.399999999999409
2,8.399999999999409
4,13.799999999999386
1,4.69999999999942
8,23.59999999999934
6,17.199999999999363
2,6.399999999999409
1,6.399999999999409
7,22.59999999999934
6,19.899999999999352
3,10.799999999999386
3,9.799999999999386
3,9.799999999999386
3,9.799999999999386
3,8.799999999999386
1,7.0999999999993975
3,12.499999999999375
2,9.799999999999386
3,10.499999999999375
5,15.899999999999352
2,7.799999999999386
2,7.799999999999386
6,17.59999999999934
4,12.199999999999363
6,17.59999999999934
2,6.799999999999386
6,16.59999999999934
4,11.199999999999363
2,9.499999999999375
4,13.899999999999352
3,10.199999999999363
1,3.799999999999386
3,9.199999999999363
3,8.199999999999363
2,5.499999999999375
2,10.199999999999363
2,6.199999999999363
2,9.899999999999352
2,8.899999999999352
3,10.59999999999934
1,5.199999999999363
2,7.899999999999352
1,5.199999999999363
1,5.899999999999352
1,2.899999999999352
13,36.89999999999935
10,28.799999999999386
2,6.199999999999477
8,22.39999999999941
12,33.19999999999936
4,11.599999999999454
10,27.799999999999386
4,11.599999999999454
4,11.599999999999454
2,6.199999999999477
8,26.099999999999397
7,23.39999999999941
6,20.69999999999942
3,11.599999999999454
3,11.599999999999454
9,27.799999999999386
3,10.599999999999454
7,21.39999999999941
2,7.899999999999466
8,23.099999999999397
12,33.89999999999935
